rule_type,rule_setting_id,year_month_bucket,status,report_date,part_num,site,commodity,current_stbl,recovery_from_stbl,platform,region,closed_date,days_open,days_to_recovery,distribution_list,dsi_1week_prior,dsi_beginning_of_the_month,exec_summary,gsm_name,is_supplier,last_updated_at,last_updated_by,lesson_learned,lesson_learned_due_date,lob,long_term_mitigation,long_term_mitigation_due_date,next_update,odm_feedback,optional_part,part_desc,pps,read_flag,recovery_to_green_dsi,repeat_offender,root_cause,root_cause_classify
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-08,73GTT,EMFP,MONITOR,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Ko,Jay|Dharshan,Rashmi|Zhou,Xun|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CHAS,L6,5820T-X,PCIE,V2",15,True,,False,fsdfdas,FCA - Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-08,73GTT,MONITOR,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Ko,Jay|Dharshan,Rashmi|Zhou,Xun|Kangutkar,Komal Rajendra",False,2019-09-11 12:40:33.705+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CHAS,L6,5820T-X,PCIE,V2",15,False,,False,Rootcause1,FCA Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-07,725VK,EMFP,MONITOR,0.4,2020-08-03,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Kajana, Kiran",False,2019-08-28 11:11:37.674+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CRD,PLN,SV,R240",5,True,,False,fsdfdas,SUP - Quality Issues (SQE)
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-07,725VK,MONITOR,EMFP,0.4,2020-08-03,STARDUST,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Kajana, Kiran",False,2019-09-11 12:41:48.911+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CRD,PLN,SV,R240",5,False,,False,Rootcause1,FCA Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-04,6YGKC,ICC,MONITOR,19.01,2019-10-01,PIONEER,APJ,9999-12-31,0,34,Lahari_Boorla@Dellteam.com,,,fsadfs,"Dharshan,Rashmi|Kajana,Kiran",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"PRC,5120,2.2,19.25MB,SKL,M0",150,True,,False,fsdfdas,PNS - Material Available in HUB
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-04,6YGKC,MONITOR,ICC,19.01,2019-10-01,PIONEER,APJ,9999-12-31,0,34,Lahari_Boorla@Dellteam.com,,,fsadfs,"Dharshan,Rashmi|Kajana,Kiran",False,2019-09-11 12:40:26.590+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"PRC,5120,2.2,19.25MB,SKL,M0",150,False,,False,Rootcause1,FCA Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-02,6XF0D,EMFP,MONITOR,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Ko,Jay|Dharshan,Rashmi|Zhou,Xun|Kangutkar,Komal Rajendra",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CHAS,L6,5820T-X,PCIE,V2",15,True,,False,fsdfdas,FCA - Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-02,6XF0D,MONITOR,EMFP,6.65,9999-12-31,MATIRA3CTO,EMEA,9999-12-31,0,2914760,Lahari_Boorla@Dellteam.com,,,fsadfs,"Ko,Jay|Dharshan,Rashmi|Zhou,Xun|Kangutkar,Komal Rajendra",False,2019-09-11 12:40:10.042+0000,COSRED,lesson,2019-08-13,PRECISION DESKTOPS,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CHAS,L6,5820T-X,PCIE,V2",15,False,,False,Rootcause1,FCA Demand Upside
High PPS,7b992a52-9ee5-4742-9e08-6b91c8be3e77,201910,open,2019-10-01,6X9WT,EMFP,MONITOR,0.4,2020-08-03,STARDUST,EMEA,9999-12-31,0,25,Lahari_Boorla@Dellteam.com,,,fsadfs,"Kajana, Kiran",False,2019-08-28 11:11:37.674+0000,COSRED,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"ASSY,CRD,PLN,SV,R240",5,True,,False,fsdfdas,SUP - Quality Issues (SQE)
Severe STBL,0de0464a-8b9b-48df-9166-909069106592,201908,closed,2019-08-30,T50K8,ICC,SSD,4.83,2020-02-11,PIONEER,APJ,2019-08-28,0,167,Lahari_Boorla@Dellteam.com,,,test closed alert,"Dharshan, Rashmi",False,2019-08-28 08:51:41.713+0000,SYSTEM,lesson,2019-08-13,POWEREDGE,test,2019-08-29,2019-08-29,test,fdsfsa,"SSDR,960G,2E,IT06,2.5,I-YVR,EC",50,True,,False,fsdfdas,PRO - Part not pulled
