rule_settings_id,rule_conditions_id,measure,duration,measurefromvalue,measureoperator,measuretovalue,operator,time,timefromvalue,timeoperator,timetovaluerule_settings_id                     | rule_conditions_id                   | measure | duration | measurefromvalue | measureoperator | measuretovalue | operator | time | timefromvalue | timeoperator | timetovalue
4177a830-8205-4c10-b480-a8f08daa4af0,93e4739e-7eda-435d-81c7-d7bf37960f8b,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
4177a830-8205-4c10-b480-a8f08daa4af0,cf3a15a4-eed9-453a-8bf8-2a699e500ee5,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
cb48c040-eaba-48e4-8717-a7de1367216c,7c2c7b30-efab-4460-973d-de51a95d4583,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
cb48c040-eaba-48e4-8717-a7de1367216c,a1ec6d7b-140d-40c9-9c88-6547d1c41916,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
3f2e8cdd-9a30-441c-864c-adcb623e3fc0,162d5a03-3809-4b68-8458-b9ceed5df040,STBL,,0,Greater than,0,,,,,
8d6df58a-a5dd-4b00-ae5b-ef98b2deaaaf,636fa1ed-e0b9-45cf-9b1c-0bd812099a00,STBL,,0,Greater than,0,,,,,
0eaa6395-2977-4a45-9017-ac6d48dfe395,e9768bff-b59b-4b92-9eb6-3dd45685fd16,STBL,,0.00,Greater than,0.00,,,,,
f542da85-80c0-46bc-a7f8-15c537665e86,c473ddb6-571c-4355-8760-9b3cc2f19c34,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
f542da85-80c0-46bc-a7f8-15c537665e86,f2f54752-7b7c-49a3-862a-45882535f2f4,Recovery to STBL,Hr(s),100.00,Less than,,,,,,
1e0977fa-b80f-4551-a91e-92a39be21854,1b54bdb5-6dcc-429e-9fce-740d418ad501,STBL,,0,Greater than,0,,,,,
fa076b5e-f338-4bd3-93de-5a779a1d02d7,79ffd4e0-2874-4d0b-a653-0f6c20f5ba80,STBL,,0,Greater than,0,,,,,
