commodity,cfg,site,rule_name,rule_type,distribution_list,effective_date,email_ids,frequency,last_updated,rule_settings_id,status
efgh25,DBNULL,COMPAL TY MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh25,DBNULL,COMPAL TY MOBILITY,gfkin,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,8a3d5d7e-060a-4b79-8327-a33f523b84e8,Active
Processor,DBNULL,PEGATRON SZ IOT,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1C4T8_CFG,BRH,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Software,DBNULL,FOXCONN MX,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh11,DBNULL,VIRTUAL,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh22,DBNULL,WISTRON CD MOBILITY,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
efgh22,DBNULL,WISTRON CD MOBILITY,yfr,Severe STBL,GOE,2019-05-02,,Daily,2019-05-02,286e9d57-16fc-4a8e-b342-969576c90061,Active
MECHANICAL,1CFYK_CFG,ELPASO,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
MECHANICAL,1CRPK - L11,DBI,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
Monitor,DBNULL,CCC6,ABC1,High PPS,"RSCP VP,WWP SVP,GOE,GSM Manager",2019-04-25,,Daily,2019-04-25,e75026ee-7c37-457d-866c-3e79c2926205,Draft
MECHANICAL,1C3Y7_CFG,BLRMRG,scass,High PPS,Lahari_Boorla@Dellteam.com,2019-08-05,,Daily,2019-08-05,c7be1c18-0ddd-4885-9206-6d122ad0fa65,Draft
